"id" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "y"
1 1 0.015 0 1 8 3.215 0 3.215 0 3.215 0.015 1.491
1 1 0.715 0 1 8 3.215 0 3.215 0 3.215 0.715 1.433
1 1 1.734 0 1 8 3.215 0 3.215 0 3.215 1.734 1.469
1 1 2.773 0 1 8 3.295 0.0800000000000001 3.215 0.0800000000000001 3.215 2.773 1.749
1 1 3.927 0 1 8 2.895 -0.32 3.215 -0.32 3.215 3.927 1.931
1 1 4.946 0 1 8 2.495 -0.72 3.215 -0.72 3.215 4.946 1.709
1 1 5.965 0 1 8 2.595 -0.62 3.215 -0.62 3.215 5.965 2.086
1 1 6.984 0 1 8 4.795 1.58 3.215 1.58 3.215 6.984 2.129
2 1 0.315 0 0 9 4.895 0 5.0965 -0.2015 4.895 0.315 1.982
2 1 0.983 0 0 9 7.4 2.505 5.0965 2.3035 4.895 0.983 1.798
2 1 2.04 0 0 9 7.4 2.505 5.0965 2.3035 4.895 2.04 2.256
2 1 3.021 0 0 9 5.295 0.4 5.0965 0.1985 4.895 3.021 2.573
2 1 4.021 0 0 9 4.495 -0.399999999999999 5.0965 -0.6015 4.895 4.021 1.819
2 1 5.521 0 0 9 2.895 -2 5.0965 -2.2015 4.895 5.521 2.928
2 1 6.733 0 0 9 2.595 -2.3 5.0965 -2.5015 4.895 6.733 2.443
2 1 7.906 0 0 9 2.595 -2.3 5.0965 -2.5015 4.895 7.906 2.825
2 1 8.848 0 0 9 5.795 0.9 5.0965 0.6985 4.895 8.848 2.303
2 1 9.598 0 0 9 7.6 2.705 5.0965 2.5035 4.895 9.598 2.329
3 0 0 0 1 7 5.595 0 4.4325 1.1625 5.595 0.781 1.763
3 0 0 0 1 7 6.695 1.1 4.4325 2.2625 5.595 0.943 1.538
3 1 0 0 1 7 4.895 -0.7 4.4325 0.462499999999999 5.595 0.957 3.242
3 1 0.08 0 1 7 4.995 -0.6 4.4325 0.5625 5.595 1.037 1.596
3 1 0.1 0 1 7 3.795 -1.8 4.4325 -0.6375 5.595 1.057 1.566
3 1 0.152 0 1 7 3.495 -2.1 4.4325 -0.9375 5.595 1.11 1.882
3 1 0.227 0 1 7 2.795 -2.8 4.4325 -1.6375 5.595 1.185 1.89
3 1 0.82 0 1 7 3.195 -2.4 4.4325 -1.2375 5.595 1.777 1.66
4 0 0 0 0 12 8.4 0 5.296 3.104 8.4 2.038 2.115
4 0 0 0 0 12 8.1 -0.300000000000001 5.296 2.804 8.4 2.638 2.921
4 0 0 0 0 12 6.395 -2.005 5.296 1.099 8.4 3.658 1.919
4 0 0 0 0 12 4.995 -3.405 5.296 -0.301 8.4 4.638 0.763
4 0 0 0 0 12 4.095 -4.305 5.296 -1.201 8.4 5.831 2.443
4 0 0 0 0 12 3.595 -4.805 5.296 -1.701 8.4 6.715 2.18
4 0 0 0 0 12 2.795 -5.605 5.296 -2.501 8.4 8.158 2.138
4 0 0 0 0 12 3.195 -5.205 5.296 -2.101 8.4 9.1 2.199
4 0 0 0 0 12 5.195 -3.205 5.296 -0.101 8.4 10.35 2.337
4 0 0 0 0 12 6.195 -2.205 5.296 0.899 8.4 11.081 2.668
5 0 0 0 0 11 5.795 0 5.72083333333333 0.0741666666666667 5.795 0.192 2.004
5 0 0 0 0 11 5.495 -0.3 5.72083333333333 -0.225833333333333 5.795 0.972 2.099
5 0 0 0 0 11 6.095 0.3 5.72083333333333 0.374166666666667 5.795 1.934 2.323
